dataset,k,d_eff,fisher_v1,part_a_pp,eig_v1,ortho_error,k_part_a_crossover,k_fisher_threshold,fisher_threshold_used,lag_fisher_minus_parta
amazon-computers,1,767,1.985149,3.3308,0.089051,1.7521073480963878e-10,5.08,3.76,0.1,-1.32
amazon-computers,2,767,0.829392,3.4828,0.065801,3.605753473578943e-10,5.08,3.76,0.1,-1.32
amazon-computers,4,767,0.002168,1.6916,0.032522,6.047821132781905e-10,5.08,3.76,0.1,-1.32
amazon-computers,6,767,0.002135,-1.4524,0.031568,6.621420078900542e-10,5.08,3.76,0.1,-1.32
amazon-computers,8,767,0.002148,-4.0708,0.031531,6.505876948281752e-10,5.08,3.76,0.1,-1.32
amazon-computers,10,767,0.00216,-5.5481,0.031522,6.428663157365122e-10,5.08,3.76,0.1,-1.32
amazon-computers,12,767,0.002166,-6.8361,0.031516,6.376574823718784e-10,5.08,3.76,0.1,-1.32
amazon-computers,20,767,0.002176,-9.9477,0.031501,6.299794019781757e-10,5.08,3.76,0.1,-1.32
amazon-computers,30,761,0.002188,-14.8156,0.031493,7.10797865011159e-10,5.08,3.76,0.1,-1.32
amazon-photo,1,745,2.131614,4.6524,0.052795,2.2065083093991689e-10,8.18,1.99,0.1,-6.19
amazon-photo,2,745,0.084335,3.9528,0.030384,5.016849158323566e-10,8.18,1.99,0.1,-6.19
amazon-photo,4,745,0.09154,3.0704,0.032681,6.584427447720032e-10,8.18,1.99,0.1,-6.19
amazon-photo,6,745,0.091384,1.2478,0.032969,6.721849743485109e-10,8.18,1.99,0.1,-6.19
amazon-photo,8,745,0.090203,0.0624,0.033037,6.908064120736412e-10,8.18,1.99,0.1,-6.19
amazon-photo,10,745,0.089526,-0.6239,0.033057,7.671042689949559e-10,8.18,1.99,0.1,-6.19
amazon-photo,12,745,0.089279,-0.8734,0.033061,8.033332887791289e-10,8.18,1.99,0.1,-6.19
amazon-photo,20,745,0.089789,-4.9064,0.033052,8.032524645429362e-10,8.18,1.99,0.1,-6.19
amazon-photo,30,480,0.090786,-9.4474,0.033926,7.385454470210107e-10,8.18,1.99,0.1,-6.19
ogbn-arxiv,1,128,0.819282,1.1047,0.244623,2.7798396917688706e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,2,128,0.927225,0.5367,0.1421,2.1754209544866399e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,4,128,0.60668,0.2082,0.125223,2.6581981060758153e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,6,128,0.308905,0.0587,0.109099,3.219092770123666e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,8,128,0.22133,-0.4443,0.095223,2.98515545615885e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,10,128,0.123263,-0.675,0.083612,2.987327052395017e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,12,128,0.03041,-0.9311,0.070347,2.8830038356630894e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,20,128,0.011762,-2.0494,0.047072,2.4977730994635294e-10,6.23,10.5,0.1,4.27
ogbn-arxiv,30,128,0.015534,-2.5389,0.039331,2.479613181449736e-10,6.23,10.5,0.1,4.27
