dataset,k,kappa_eig,kappa_U,eig_min,eig_max,d_eff,ortho_error
amazon-computers,1,15.051513366358828,9.836532416308449,0.08905122957806796,1.3403557722849786,767,1.7521073480963878e-10
amazon-computers,2,22.674318714011058,15.371417456550772,0.06580067921824237,1.4919855721928315,767,3.605753473578943e-10
amazon-computers,4,48.016037457444654,19.670299473133053,0.032522327574420036,1.5615932990166377,767,6.047821132781905e-10
amazon-computers,6,49.857493550436814,20.960576505890717,0.0315684768022811,1.573925128566844,767,6.621420078900542e-10
amazon-computers,8,50.011887099457354,30.712835796488058,0.03153084909885712,1.5769172652820689,767,6.505876948281752e-10
amazon-computers,10,50.05210397394967,38.55965032627084,0.0315224471215455,1.5777648008409257,767,6.428663157365122e-10
amazon-computers,12,50.07086327883675,42.362295671591,0.03151591301470272,1.5780289716668914,767,6.376574823718784e-10
amazon-computers,20,50.09954536240773,60.99334143269708,0.03150053951646145,1.5781627084452778,767,6.299794019781757e-10
amazon-computers,30,50.111818929024125,65.51766993476933,0.03149284484715697,1.5781637385405805,761,7.10797865011159e-10
amazon-photo,1,26.627900899394888,10.439218089979628,0.05279537659617191,1.4058300559490977,745,2.2065083093991689e-10
amazon-photo,2,49.99034089186981,14.763907684368139,0.03038400236558633,1.5189066359150394,745,5.016849158323566e-10
amazon-photo,4,47.76639650331673,17.519934010308514,0.03268119706729973,1.5610630173196707,745,6.584427447720032e-10
amazon-photo,6,47.48823648331683,39.706406797352365,0.032968921546838885,1.5656359430162048,745,6.721849743485109e-10
amazon-photo,8,47.41673896679569,53.781032045741206,0.03303666527944044,1.56649093388863,745,6.908064120736412e-10
amazon-photo,10,47.39841333538603,63.85240127111972,0.03305687057387014,1.5668432150346565,745,7.671042689949559e-10
amazon-photo,12,47.39828219381181,90.48156440032027,0.03306144163301476,1.5670555402558721,745,8.033332887791289e-10
amazon-photo,20,47.42109895344438,107.07709941044955,0.03305238328863115,1.5673803385773493,745,8.032524645429362e-10
amazon-photo,30,45.9437723271821,57.04704501188983,0.033925737082074324,1.558676340530662,480,7.385454470210107e-10
citeseer,1,1618.3534036836925,2.9186563809522736,0.0009279550766772916,1.5017592568062568,2035,2.2393320531222116e-10
citeseer,2,1343.4799272956445,2.9210889562375293,0.0011178909598636177,1.5018640654820314,2035,2.2392232512657984e-10
citeseer,4,1256.7652881293777,2.9235121613742074,0.0011949406827869735,1.501759971500286,2033,2.2394430754246741e-10
citeseer,6,703.2369766237601,2.9274736214141375,0.002134954017509954,1.5013786085044505,1989,2.2338697558410558e-10
citeseer,8,356.06481646935384,2.9288633336497836,0.004213397110972726,1.5002424690310092,1897,2.2129897914169305e-10
citeseer,10,232.59317411011097,3.066665979917861,0.006443754919456717,1.4987734099040801,1782,2.182025671260135e-10
citeseer,12,193.91921222501702,3.1310039003839116,0.007723248528634528,1.4976862704908294,1653,2.149936895179394e-10
