dataset,k,part_a_pp,sgc_mlp_acc_pct,restricted_std_acc_pct,part_b_pp,remaining_gap_pp
amazon-computers,1,3.3308,92.6383,89.3074,-0.1246,3.4554
amazon-computers,2,3.4828,92.6258,89.143,0.7573,2.7255
amazon-computers,4,1.6916,90.4758,88.7843,0.6726,1.0189
amazon-computers,6,-1.4524,87.6831,89.1355,-0.005,-1.4474
amazon-computers,8,-4.0708,85.2641,89.3348,-0.2093,-3.8615
amazon-computers,10,-5.5481,83.9537,89.5017,-0.1121,-5.436
amazon-computers,12,-6.8361,82.7454,89.5815,-0.0598,-6.7763
amazon-computers,20,-9.9477,79.8231,89.7708,0.0847,-10.0324
amazon-computers,30,-14.8156,75.1071,89.9228,0.1196,-14.9352
amazon-photo,1,4.6524,94.5989,89.9465,0.6283,4.0241
amazon-photo,2,3.9528,94.5544,90.6016,1.2745,2.6783
amazon-photo,4,3.0704,93.4804,90.41,1.2433,1.8271
amazon-photo,6,1.2478,92.4421,91.1943,0.6952,0.5526
amazon-photo,8,0.0624,91.4884,91.426,0.3164,-0.254
amazon-photo,10,-0.6239,90.6818,91.3057,0.3164,-0.9403
amazon-photo,12,-0.8734,90.2362,91.1096,0.6328,-1.5062
amazon-photo,20,-4.9064,86.4483,91.3547,0.1783,-5.0847
amazon-photo,30,-9.4474,81.7647,91.2121,0.9046,-10.3521
citeseer,1,31.9155,58.3811,26.4656,-3.4791,35.3947
citeseer,2,26.1036,54.178,28.0744,-3.268,29.3715
citeseer,4,33.7858,62.4334,28.6476,-4.4545,38.2403
citeseer,6,35.1533,61.7195,26.5661,-2.2725,37.4258
citeseer,8,33.1724,64.1428,30.9703,-5.0478,38.2202
citeseer,10,36.5711,66.7169,30.1458,-3.2177,39.7888
citeseer,12,34.5701,67.4007,32.8306,-3.2378,37.8079
citeseer,20,34.5601,69.1302,34.5701,-6.1136,40.6737
citeseer,30,33.1423,69.5224,36.3801,-5.2388,38.3811
coauthor-cs,1,10.7924,93.2697,82.4773,-1.5431,12.3355
coauthor-cs,2,14.0313,92.8499,78.8186,0.0909,13.9404
coauthor-cs,4,12.1429,91.8411,79.6983,-4.7128,16.8557
coauthor-cs,6,12.9989,91.2741,78.2752,-5.4944,18.4933
coauthor-cs,8,13.7205,91.0451,77.3246,-5.5816,19.3021
coauthor-cs,10,13.0625,90.8342,77.7717,-5.0945,18.157
coauthor-cs,12,13.4478,90.5871,77.1392,-5.9669,19.4148
coauthor-cs,20,10.9724,89.8528,78.8804,-6.7085,17.6808
coauthor-cs,30,5.7125,88.735,83.0225,-2.3537,8.0662
coauthor-physics,1,6.856,95.5459,88.6899,3.4126,3.4435
coauthor-physics,2,6.1517,95.4966,89.3449,2.5024,3.6493
coauthor-physics,4,9.4155,95.3014,85.886,4.0135,5.4019
coauthor-physics,6,8.9691,95.0647,86.0956,3.1816,5.7874
coauthor-physics,8,8.3594,95.0019,86.6425,1.3198,7.0396
coauthor-physics,10,8.0213,94.8783,86.857,1.8377,6.1836
coauthor-physics,12,8.4802,94.8048,86.3246,2.3237,6.1565
coauthor-physics,20,6.256,94.5623,88.3063,0.0995,6.1565
coauthor-physics,30,2.8908,94.0541,91.1633,0.2357,2.6551
cora,1,23.1475,69.5665,46.4189,-15.0237,38.1712
cora,2,22.3971,69.5155,47.1184,-15.0965,37.4936
cora,4,25.7559,74.1712,48.4153,-16.4954,42.2514
cora,6,27.2495,75.5556,48.306,-16.4372,43.6867
cora,8,29.5738,76.1967,46.623,-13.5009,43.0747
cora,10,29.8871,76.1894,46.3024,-13.275,43.1621
cora,12,29.9745,77.0856,47.1111,-13.4791,43.4536
cora,20,30.1567,76.9326,46.776,-11.7231,41.8798
cora,30,26.0182,75.9709,49.9526,-12.4299,38.4481
ogbn-arxiv,1,1.1047,68.1828,67.078,-1.421,2.5258
ogbn-arxiv,2,0.5367,71.4697,70.9329,-0.9651,1.5018
ogbn-arxiv,4,0.2082,71.7477,71.5395,-0.8447,1.0529
ogbn-arxiv,6,0.0587,71.3832,71.3245,-0.5515,0.6103
ogbn-arxiv,8,-0.4443,70.8258,71.2701,-0.6148,0.1705
ogbn-arxiv,10,-0.675,70.349,71.024,-0.4941,-0.1809
ogbn-arxiv,12,-0.9311,69.8485,70.7796,-0.2859,-0.6452
ogbn-arxiv,20,-2.0494,67.6928,69.7422,0.3894,-2.4388
ogbn-arxiv,30,-2.5389,65.9529,68.4918,1.2024,-3.7413
pubmed,1,26.3867,68.6933,42.3067,0.04,26.3467
pubmed,2,26.9667,73.52,46.5533,-0.82,27.7867
pubmed,4,29.6533,74.9267,45.2733,-0.88,30.5333
pubmed,6,27.4133,74.46,47.0467,-0.6267,28.04
pubmed,8,28.04,74.94,46.9,-0.64,28.68
pubmed,10,27.5667,75.16,47.5933,0.1267,27.44
pubmed,12,28.1,75.9467,47.8467,-0.16,28.26
pubmed,20,27.3333,75.5667,48.2333,2.6933,24.64
pubmed,30,25.4933,75.5333,50.04,2.14,23.3533
wikics,1,25.3385,78.0804,52.7419,-1.5643,26.9028
wikics,2,20.6918,78.9092,58.2173,-1.6906,22.3824
wikics,4,17.8006,78.1158,60.3152,-1.3612,19.1618
wikics,6,14.5092,77.4984,62.9892,-2.1876,16.6968
wikics,8,11.3653,76.3013,64.936,-2.5913,13.9567
wikics,10,8.6276,75.5162,66.8886,-3.524,12.1516
wikics,12,7.2074,74.776,67.5686,-3.6893,10.8966
wikics,20,4.3929,72.357,67.9641,-2.7802,7.1731
wikics,30,0.3955,69.6771,69.2816,-2.7035,3.099
