dataset,k,d_eff,fisher_v1,fisher_v2,fisher_v3,fisher_v5,fisher_v10,fisher_v20,fisher_mean_top20,fisher_max_top20,eig_v1
amazon-computers,1,767,1.985149,1.47792,2.49268,0.827198,0.275325,0.032102,0.531803,2.49268,0.089051
amazon-computers,2,767,0.829392,0.088997,0.293121,0.917644,0.000764,0.01997,0.332869,1.433198,0.065801
amazon-computers,4,767,0.002168,0.000886,0.01163,0.001561,0.003381,0.013089,0.312112,3.134701,0.032522
amazon-computers,6,767,0.002135,0.000876,0.010929,0.001003,0.000785,0.005605,0.391474,3.949096,0.031568
amazon-computers,8,767,0.002148,0.000885,0.010841,0.001007,0.001142,0.002403,0.414371,4.208714,0.031531
amazon-computers,10,767,0.00216,0.000885,0.010823,0.001025,0.205569,0.001319,0.42115,4.277453,0.031522
amazon-computers,12,767,0.002166,0.000885,0.010823,0.001036,0.249043,0.001243,0.424372,4.289935,0.031516
amazon-computers,20,767,0.002176,0.000887,0.010816,0.001036,0.235977,0.001211,0.422916,4.277157,0.031501
amazon-computers,30,761,0.002188,0.000894,0.010795,0.00099,0.22439,0.001245,0.42724,4.322119,0.031493
amazon-photo,1,745,2.131614,1.057171,0.219247,0.145731,0.122293,0.706522,0.462224,2.281773,0.052795
amazon-photo,2,745,0.084335,1.019056,3.834035,4.336213,0.052274,0.018386,0.547751,4.336213,0.030384
amazon-photo,4,745,0.09154,0.64833,2.549674,0.013407,0.809075,0.127227,0.361342,2.549674,0.032681
amazon-photo,6,745,0.091384,0.971519,0.904996,0.050229,0.631794,0.119733,0.252862,1.218555,0.032969
amazon-photo,8,745,0.090203,1.516264,0.001512,0.082293,0.271109,0.111481,0.261148,1.516264,0.033037
amazon-photo,10,745,0.089526,1.772293,0.003606,0.103694,0.212605,0.105762,0.264909,1.772293,0.033057
amazon-photo,12,745,0.089279,1.877801,0.004341,0.118901,0.197446,0.102356,0.231081,1.877801,0.033061
amazon-photo,20,745,0.089789,1.964004,0.005373,0.182149,0.010772,0.098082,0.229009,1.964004,0.033052
amazon-photo,30,480,0.090786,0.00679,0.404308,0.002431,0.337675,0.072542,0.216055,1.896357,0.033926
citeseer,1,2035,0.305835,0.155924,0.620543,0.584632,0.077867,0.667028,0.214722,0.667028,0.000928
citeseer,2,2035,0.21144,0.145812,0.115334,0.79173,0.158946,0.554349,0.207747,0.79173,0.001118
citeseer,4,2033,0.255201,0.135819,0.147447,0.688337,0.145898,0.435807,0.185402,0.688337,0.001195
citeseer,6,1989,0.324293,0.220497,0.083114,0.436042,0.106805,0.091143,0.160268,0.436042,0.002135
citeseer,8,1897,0.188884,0.088893,0.099438,0.10917,0.083499,0.124237,0.205091,0.967779,0.004213
citeseer,10,1782,0.057681,0.295135,0.321859,0.47342,0.124818,0.22892,0.179927,0.68912,0.006444
citeseer,12,1653,0.062352,0.353392,0.35859,0.276624,0.234458,0.103283,0.179919,0.47701,0.007723
citeseer,20,1246,0.219425,0.192509,0.096448,0.297433,0.071541,0.140871,0.133489,0.297433,0.01121
citeseer,30,900,0.301904,0.173875,0.139406,0.151675,0.122933,0.080369,0.099548,0.301904,0.019093
