dataset,k,num_eigenvectors_used,requested_p,d_eff,linear_probe_accuracy
amazon-computers,1,5,5,767,58.9312
amazon-computers,1,10,10,767,72.6831
amazon-computers,1,20,20,767,78.6248
amazon-computers,1,50,50,767,84.3423
amazon-computers,1,767,all,767,84.6413
amazon-computers,2,5,5,767,55.7922
amazon-computers,2,10,10,767,60.5007
amazon-computers,2,20,20,767,75.7848
amazon-computers,2,50,50,767,80.1196
amazon-computers,2,767,all,767,86.6592
amazon-computers,4,5,5,767,39.1256
amazon-computers,4,10,10,767,50.1495
amazon-computers,4,20,20,767,63.2661
amazon-computers,4,50,50,767,75.4484
amazon-computers,4,767,all,767,87.3318
amazon-computers,6,5,5,767,39.2377
amazon-computers,6,10,10,767,50.3737
amazon-computers,6,20,20,767,63.9387
amazon-computers,6,50,50,767,75.1495
amazon-computers,6,767,all,767,87.8924
amazon-computers,8,5,5,767,39.6487
amazon-computers,8,10,10,767,51.3827
amazon-computers,8,20,20,767,64.9103
amazon-computers,8,50,50,767,75.0374
amazon-computers,8,767,all,767,88.565
amazon-computers,10,5,5,767,39.4245
amazon-computers,10,10,10,767,52.3169
amazon-computers,10,20,20,767,63.864
amazon-computers,10,50,50,767,74.701
amazon-computers,10,767,all,767,88.3034
amazon-computers,12,5,5,767,39.4245
amazon-computers,12,10,10,767,52.2795
amazon-computers,12,20,20,767,64.1256
amazon-computers,12,50,50,767,74.7758
amazon-computers,12,767,all,767,88.7145
amazon-computers,20,5,5,767,39.4619
amazon-computers,20,10,10,767,52.1674
amazon-computers,20,20,20,767,64.7235
amazon-computers,20,50,50,767,75.0374
amazon-computers,20,767,all,767,88.8266
amazon-computers,30,5,5,761,39.4245
amazon-computers,30,10,10,761,52.2795
amazon-computers,30,20,20,761,64.6114
amazon-computers,30,50,50,761,75.1495
amazon-computers,30,761,all,761,88.6771
amazon-photo,1,5,5,745,52.0722
amazon-photo,1,10,10,745,74.2647
amazon-photo,1,20,20,745,83.0882
amazon-photo,1,50,50,745,87.2326
amazon-photo,1,745,all,745,86.8316
amazon-photo,2,5,5,745,52.4064
amazon-photo,2,10,10,745,69.0508
amazon-photo,2,20,20,745,80.4144
amazon-photo,2,50,50,745,87.8342
amazon-photo,2,745,all,745,88.6364
amazon-photo,4,5,5,745,46.1898
amazon-photo,4,10,10,745,68.1818
amazon-photo,4,20,20,745,75.1337
amazon-photo,4,50,50,745,84.7594
amazon-photo,4,745,all,745,87.9011
amazon-photo,6,5,5,745,45.8556
amazon-photo,6,10,10,745,68.516
amazon-photo,6,20,20,745,73.9973
amazon-photo,6,50,50,745,83.7567
amazon-photo,6,745,all,745,88.0348
amazon-photo,8,5,5,745,43.0481
amazon-photo,8,10,10,745,69.0508
amazon-photo,8,20,20,745,73.8636
