Q1: SPECTRAL-LABEL ALIGNMENT ANALYSIS
============================================================
Verification: 81 passed, 0 failed
[amazon-computers k=1] OK  ortho=1.75e-10  eig=[0.0891,1.3404]  OK
[amazon-computers k=2] OK  ortho=3.61e-10  eig=[0.0658,1.4920]  OK
[amazon-computers k=4] OK  ortho=6.05e-10  eig=[0.0325,1.5616]  OK
[amazon-computers k=6] OK  ortho=6.62e-10  eig=[0.0316,1.5739]  OK
[amazon-computers k=8] OK  ortho=6.51e-10  eig=[0.0315,1.5769]  OK
[amazon-computers k=10] OK  ortho=6.43e-10  eig=[0.0315,1.5778]  OK
[amazon-computers k=12] OK  ortho=6.38e-10  eig=[0.0315,1.5780]  OK
[amazon-computers k=20] OK  ortho=6.30e-10  eig=[0.0315,1.5782]  OK
[amazon-computers k=30] OK  ortho=7.11e-10  eig=[0.0315,1.5782]  OK
[amazon-photo k=1] OK  ortho=2.21e-10  eig=[0.0528,1.4058]  OK
[amazon-photo k=2] OK  ortho=5.02e-10  eig=[0.0304,1.5189]  OK
[amazon-photo k=4] OK  ortho=6.58e-10  eig=[0.0327,1.5611]  OK
[amazon-photo k=6] OK  ortho=6.72e-10  eig=[0.0330,1.5656]  OK
[amazon-photo k=8] OK  ortho=6.91e-10  eig=[0.0330,1.5665]  OK
[amazon-photo k=10] OK  ortho=7.67e-10  eig=[0.0331,1.5668]  OK
[amazon-photo k=12] OK  ortho=8.03e-10  eig=[0.0331,1.5671]  OK
[amazon-photo k=20] OK  ortho=8.03e-10  eig=[0.0331,1.5674]  OK
[amazon-photo k=30] OK  ortho=7.39e-10  eig=[0.0339,1.5587]  OK
[citeseer k=1] OK  ortho=2.24e-10  eig=[0.0009,1.5018]  OK
[citeseer k=2] OK  ortho=2.24e-10  eig=[0.0011,1.5019]  OK
[citeseer k=4] OK  ortho=2.24e-10  eig=[0.0012,1.5018]  OK
[citeseer k=6] OK  ortho=2.23e-10  eig=[0.0021,1.5014]  OK
[citeseer k=8] OK  ortho=2.21e-10  eig=[0.0042,1.5002]  OK
[citeseer k=10] OK  ortho=2.18e-10  eig=[0.0064,1.4988]  OK
[citeseer k=12] OK  ortho=2.15e-10  eig=[0.0077,1.4977]  OK
[citeseer k=20] OK  ortho=1.99e-10  eig=[0.0112,1.4937]  OK
[citeseer k=30] OK  ortho=1.83e-10  eig=[0.0191,1.4873]  OK
