dataset,k,d_eff,d_eff_k1,d_eff_retention_rate,part_a_pp,sgc_mlp_acc,rest_std_acc,ortho_error
amazon-computers,1,767,767,1.0,3.3308,92.6383,89.3074,1.7521073480963878e-10
amazon-computers,2,767,767,1.0,3.4828,92.6258,89.143,3.605753473578943e-10
amazon-computers,4,767,767,1.0,1.6916,90.4758,88.7843,6.047821132781905e-10
amazon-computers,6,767,767,1.0,-1.4524,87.6831,89.1355,6.621420078900542e-10
amazon-computers,8,767,767,1.0,-4.0708,85.2641,89.3348,6.505876948281752e-10
amazon-computers,10,767,767,1.0,-5.5481,83.9537,89.5017,6.428663157365122e-10
amazon-computers,12,767,767,1.0,-6.8361,82.7454,89.5815,6.376574823718784e-10
amazon-computers,20,767,767,1.0,-9.9477,79.8231,89.7708,6.299794019781757e-10
amazon-computers,30,761,767,0.992177,-14.8156,75.1071,89.9228,7.10797865011159e-10
amazon-photo,1,745,745,1.0,4.6524,94.5989,89.9465,2.2065083093991689e-10
amazon-photo,2,745,745,1.0,3.9528,94.5544,90.6016,5.016849158323566e-10
amazon-photo,4,745,745,1.0,3.0704,93.4804,90.41,6.584427447720032e-10
amazon-photo,6,745,745,1.0,1.2478,92.4421,91.1943,6.721849743485109e-10
amazon-photo,8,745,745,1.0,0.0624,91.4884,91.426,6.908064120736412e-10
amazon-photo,10,745,745,1.0,-0.6239,90.6818,91.3057,7.671042689949559e-10
amazon-photo,12,745,745,1.0,-0.8734,90.2362,91.1096,8.033332887791289e-10
amazon-photo,20,745,745,1.0,-4.9064,86.4483,91.3547,8.032524645429362e-10
amazon-photo,30,480,745,0.644295,-9.4474,81.7647,91.2121,7.385454470210107e-10
citeseer,1,2035,2035,1.0,31.9155,58.3811,26.4656,2.2393320531222116e-10
citeseer,2,2035,2035,1.0,26.1036,54.178,28.0744,2.2392232512657984e-10
citeseer,4,2033,2035,0.999017,33.7858,62.4334,28.6476,2.2394430754246741e-10
citeseer,6,1989,2035,0.977396,35.1533,61.7195,26.5661,2.2338697558410558e-10
citeseer,8,1897,2035,0.932187,33.1724,64.1428,30.9703,2.2129897914169305e-10
citeseer,10,1782,2035,0.875676,36.5711,66.7169,30.1458,2.182025671260135e-10
citeseer,12,1653,2035,0.812285,34.5701,67.4007,32.8306,2.149936895179394e-10
