dataset,k,key,num_nodes,num_features,num_classes,d_eff,sparsity_features,sparsity_diffused,sparsity_U,ref_nodes_features,ref_nodes_diffused,ref_nodes_U,fisher_features,fisher_diffused,fisher_U,nmi_features,nmi_diffused,nmi_U,sgc_std,restr_std,restr_rn,restr_logmag,sgc_std_se,restr_std_se,restr_rn_se,restr_logmag_se,part_a_gap,part_b_improvement,hordan_fix,total_vs_baseline,hordan_helped
ogbn-arxiv,2,ogbn-arxiv_k2,169343,128,40,128,1.9376354499447865e-06,4.198210141547038e-06,0.0019278550043403033,99.97519826624071,99.9462629101882,79.37440579179535,0.031865689903497696,0.030681360512971878,0.3565216548753176,0.009366652974438297,0.01911700092914179,0.07591666332031843,0.7152937889099121,0.710227350393931,0.6974727034568786,0.6875898162523906,0.002263598671411865,0.0024832753209517574,0.0027800219156518193,0.00299966917468531,-0.005066438515981098,-0.012754646937052416,-0.009882887204488044,-0.02770397265752156,False
ogbn-arxiv,10,ogbn-arxiv_k10,169343,128,40,128,1.9376354499447865e-06,5.167027866519431e-06,0.008513785630347874,99.97519826624071,99.93386204330855,58.52323390987523,0.031865689903497696,0.025718025863170624,0.3976224344613865,0.009366652974438297,0.01214750331694811,0.10830619632802668,0.7221041401227315,0.730843436717987,0.7263438781102498,0.7115835189819336,0.0026217465191463994,0.0026333112501517354,0.0028737530348608635,0.001858874698296119,0.008739296595255519,-0.0044995586077372085,-0.014760359128316192,-0.010520621140797881,False
cora,2,cora_k2,2485,1433,7,1427,0.9872263588509423,0.7994411689958313,0.0001638421982490599,0.0,0.0,79.43661971830987,0.007982933893799782,0.022810613736510277,0.00915246323299625,0.02199166063052134,0.015871005676244655,0.019743158290583027,0.8529845277468363,0.6896042744318645,0.5589536984761556,0.5208584646383921,0.006340060772280812,0.010454158864649059,0.019006002935146996,0.022809800583342126,-0.16338025331497186,-0.13065057595570884,-0.038095233837763476,-0.33212606310844417,False
cora,10,cora_k10,2485,1433,7,1427,0.9872263588509423,0.034885376459735384,0.0013296316088542467,0.0,0.0,25.432595573440643,0.007982933893799782,0.036077287048101425,0.007480784500805274,0.02199166063052134,0.02808804686461067,0.0199617231230667,0.851374876499176,0.6702883799870809,0.5879275441169739,0.5432595491409302,0.018409693279644746,0.010282378401599632,0.017296035851048358,0.015199686988989393,-0.18108649651209507,-0.08236083587010701,-0.04466799497604368,-0.30811532735824576,False
citeseer,2,citeseer_k2,2120,3703,6,2023,0.99138141435552,0.9105131484416001,0.02463322731978474,0.0,0.0,0.0,0.01788627728819847,0.08675874769687653,0.027636116618363855,0.018433173893752763,0.05431904523680083,0.023017095969140804,0.7146226565043131,0.5754717032114665,0.5095911959807078,0.3234276791413625,0.022556177372288086,0.01604236111776959,0.03735525701871885,0.022222717208223344,-0.13915095329284666,-0.06588050723075867,-0.1861635168393453,-0.3911949773629506,False
citeseer,10,citeseer_k10,2120,3703,6,1956,0.99138141435552,0.3292451556361746,0.1098868503298993,0.0,0.0,0.0,0.01788627728819847,0.11585278064012527,0.02644473347835417,0.018433173893752763,0.0590158184682765,0.0173048599369901,0.7353773633639018,0.5677673041820526,0.5020440340042114,0.3699685613314311,0.020904264044210575,0.03393240389965677,0.03183952750700733,0.020986882815010655,-0.16761005918184924,-0.06572327017784119,-0.1320754726727803,-0.3654088020324707,False
pubmed,2,pubmed_k2,19717,500,3,500,0.8997787695896942,0.3260113607546787,0.0003356494395699143,0.0,0.05071765481564133,84.64776588730537,0.08352522552013397,0.08230292052030563,0.01725151635015622,0.05509320046783999,0.04942229505386913,0.013238013795916293,0.8796652873357137,0.8743576486905416,0.8766903122266133,0.8800371726353963,0.005610883792176662,0.00465857604539166,0.005651880471515369,0.00537051942775994,-0.005307638645172141,0.002332663536071755,0.003346860408782959,0.0003718852996825728,True
pubmed,10,pubmed_k10,19717,500,3,500,0.8997787695896942,0.0009243799766698788,0.0005552568849216412,0.0,97.33732312217883,77.43571537252117,0.08352522552013397,0.06570421904325485,0.01722400965951939,0.05509320046783999,0.06232204667484628,0.018284990125022223,0.8508282423019409,0.8395706295967102,0.8417004505793254,0.8465179006258646,0.0055747571969703485,0.005878459708571114,0.006340876185667588,0.004405905515255138,-0.011257612705230624,0.0021298209826151604,0.004817450046539218,-0.004310341676076246,True
coauthor-cs,2,coauthor-cs_k2,18333,6805,15,6803,0.9912462853008389,0.7227000146245395,0.0005097683320298874,0.0,0.0,5.912834778814161,0.2059253603219986,0.8183672428131104,0.060238688235219925,0.06980824903340638,0.16160180911648686,0.02573257239112539,0.9344419797261556,0.8245183229446411,0.7571064750353496,0.6981824477513631,0.0025397220917535226,0.021940421065579894,0.025937516825408694,0.006769727530829981,-0.1099236567815145,-0.06741184790929156,-0.05892402728398649,-0.23625953197479255,False
coauthor-cs,10,coauthor-cs_k10,18333,6805,15,6803,0.9912462853008389,0.003756314372371395,0.0011970711949950946,0.0,43.053510063819346,0.3818251240931653,0.2059253603219986,0.45989111065864563,0.05209255062044429,0.06980824903340638,0.11889593252139069,0.02588576093637725,0.9114685177803039,0.7897127946217855,0.7030170559883118,0.6995092391967773,0.003617460403064656,0.01422016629746794,0.016358795981686776,0.0048188691007172504,-0.12175572315851846,-0.08669573863347368,-0.003507816791534446,-0.2119592785835266,False
