Dataset,Split,SGC+MLP,RowNorm,RowNorm+R,Δ RowNorm,LogMag,LogMag+R,Δ LogMag,Nested,Nested+R,Δ Nested
ogbn-arxiv,fixed,70.81,70.69,70.90,+0.20,70.61,70.51,-0.09,69.33,69.24,-0.09
ogbn-arxiv,random,72.17,72.27,72.42,+0.15,70.86,71.09,+0.23,70.06,70.24,+0.18
cora,fixed,75.91,59.83,59.72,-0.11,53.62,52.28,-1.33,67.10,67.48,+0.37
cora,random,86.88,80.72,80.40,-0.32,77.02,76.34,-0.68,80.48,80.52,+0.04
citeseer,fixed,62.32,69.80,68.78,-1.03,65.34,65.88,+0.54,67.96,67.99,+0.03
citeseer,random,75.85,76.51,75.75,-0.75,76.18,76.46,+0.28,76.13,75.66,-0.47
pubmed,fixed,76.34,50.58,49.48,-1.10,49.80,49.92,+0.12,52.34,50.64,-1.70
pubmed,random,85.57,84.50,84.63,+0.13,84.87,84.64,-0.23,84.53,84.37,-0.16
wikics,fixed,76.42,65.89,66.09,+0.20,66.72,66.94,+0.22,65.55,65.72,+0.17
wikics,random,81.79,80.32,80.59,+0.27,81.19,81.04,-0.15,80.01,80.08,+0.07
amazon-computers,fixed,83.86,90.26,90.02,-0.24,90.81,90.66,-0.15,91.04,90.98,-0.06
amazon-computers,random,83.32,89.02,89.17,+0.15,89.62,89.29,-0.32,89.69,89.71,+0.02
amazon-photo,fixed,90.35,90.51,90.38,-0.13,90.41,90.29,-0.12,91.29,91.28,-0.01
amazon-photo,random,92.98,91.34,91.15,-0.19,90.83,90.73,-0.09,91.58,91.43,-0.15
coauthor-cs,fixed,91.79,80.94,81.80,+0.86,84.71,84.05,-0.67,89.59,89.59,+0.01
coauthor-cs,random,91.79,80.94,81.80,+0.86,84.71,84.05,-0.67,89.59,89.59,+0.01
coauthor-physics,fixed,95.12,92.43,92.51,+0.08,93.36,93.59,+0.23,94.81,94.90,+0.09
coauthor-physics,random,95.12,92.43,92.51,+0.08,93.36,93.59,+0.23,94.81,94.90,+0.09
