Dataset,Split,k_low,k_high,SGC Baseline,Branch 1 Only,Branch 2 Only,Dual-Branch,Triple-Branch,SGC Std,B1 Std,B2 Std,Dual Std,Triple Std,Best Single,Dual Gain,Triple Gain,Magnitude Contribution,Num Nodes,Num Classes,d_sgc,d_eigenvec
amazon-computers,fixed,2,10,89.64,90.82,90.07,91.40,91.70,0.29,0.77,0.30,0.52,0.35,90.82,0.58,0.87,0.30,13381,10,767,766
amazon-computers,random,2,10,88.68,89.79,89.25,90.36,90.77,0.39,0.53,0.49,0.65,0.51,89.79,0.57,0.99,0.42,13381,10,767,766
amazon-photo,fixed,2,10,93.84,94.54,89.99,93.09,92.81,0.15,0.23,0.20,0.14,0.24,94.54,-1.44,-1.72,-0.28,7487,8,745,744
amazon-photo,random,2,10,93.65,94.39,90.21,93.01,92.87,0.87,0.76,0.58,0.45,0.49,94.39,-1.38,-1.52,-0.14,7487,8,745,744
citeseer,fixed,2,10,70.02,70.23,66.24,71.67,72.19,0.18,1.27,1.43,0.69,1.45,70.23,1.45,1.96,0.51,2120,6,3703,1834
citeseer,random,2,10,77.27,75.16,71.12,73.25,73.19,2.21,1.87,2.04,2.44,2.02,75.16,-1.91,-1.97,-0.07,2120,6,3703,1834
coauthor-cs,fixed,2,10,94.37,94.11,80.57,93.99,93.87,0.05,0.21,0.38,0.22,0.29,94.11,-0.12,-0.24,-0.12,18333,15,6805,6802
coauthor-cs,random,2,10,93.86,93.47,80.48,93.43,93.41,0.16,0.30,0.52,0.26,0.32,93.47,-0.04,-0.06,-0.02,18333,15,6805,6802
coauthor-physics,fixed,2,10,95.99,96.51,92.21,96.44,96.43,0.01,0.07,0.23,0.08,0.06,96.51,-0.07,-0.08,-0.02,34493,5,8415,7700
coauthor-physics,random,2,10,96.13,96.51,92.07,96.64,96.59,0.20,0.19,0.27,0.11,0.15,96.51,0.13,0.08,-0.05,34493,5,8415,7700
cora,fixed,2,10,78.32,78.03,63.58,78.19,78.47,0.16,0.98,5.12,0.93,0.73,78.03,0.15,0.44,0.28,2485,7,1433,1426
cora,random,2,10,87.95,84.87,76.15,84.65,84.49,1.28,1.07,1.35,1.49,1.58,84.87,-0.22,-0.38,-0.16,2485,7,1433,1426
ogbn-arxiv,fixed,2,10,58.13,65.61,69.96,70.36,70.51,0.16,0.91,0.22,0.18,0.28,69.96,0.40,0.54,0.14,169343,40,128,127
ogbn-arxiv,random,2,10,58.65,65.78,71.99,72.68,71.76,0.22,0.38,0.30,0.29,0.39,71.99,0.69,-0.23,-0.92,169343,40,128,127
pubmed,fixed,2,10,77.18,75.96,49.08,54.42,53.50,0.15,0.60,2.24,2.75,2.70,75.96,-21.54,-22.46,-0.92,19717,3,500,499
pubmed,random,2,10,81.16,89.33,83.13,86.47,87.22,0.71,0.49,0.62,0.50,0.69,89.33,-2.86,-2.11,0.76,19717,3,500,499
wikics,fixed,2,10,76.37,78.25,63.15,69.86,70.02,0.05,0.39,0.49,0.58,1.21,78.25,-8.39,-8.23,0.16,11311,10,300,299
wikics,random,2,10,77.36,83.85,77.98,81.52,81.91,0.89,0.89,0.90,0.73,0.89,83.85,-2.32,-1.94,0.38,11311,10,300,299
