Dataset,K,SGC,RowNorm,Δ (pp),Δ (%)
amazon-computers,2,87.13±0.85,86.29±0.31,-0.85,-0.97
amazon-computers,4,83.83±0.67,87.25±0.67,+3.42,+4.08
amazon-computers,6,80.39±1.01,87.13±0.58,+6.74,+8.39
amazon-computers,8,77.62±0.85,87.19±0.76,+9.57,+12.33
amazon-computers,10,74.86±2.27,87.00±0.70,+12.14,+16.22
citeseer,2,75.18±0.52,26.08±1.24,-49.11,-65.31
citeseer,4,75.59±1.35,25.73±2.60,-49.86,-65.96
citeseer,6,75.54±1.19,26.16±2.18,-49.39,-65.38
citeseer,8,75.33±1.18,26.61±2.30,-48.72,-64.68
citeseer,10,74.68±1.48,25.87±2.43,-48.81,-65.36
coauthor-cs,2,93.65±0.20,71.25±0.63,-22.39,-23.91
coauthor-cs,4,91.98±0.31,69.67±0.39,-22.31,-24.26
coauthor-cs,6,90.91±0.23,69.54±0.36,-21.37,-23.51
coauthor-cs,8,89.98±0.16,69.33±0.42,-20.65,-22.95
coauthor-cs,10,89.34±0.18,69.18±0.33,-20.16,-22.57
coauthor-physics,2,96.00±0.12,82.83±0.32,-13.16,-13.71
coauthor-physics,4,95.30±0.11,82.49±0.33,-12.82,-13.45
coauthor-physics,6,94.87±0.21,82.39±0.30,-12.48,-13.15
coauthor-physics,8,94.48±0.21,82.32±0.34,-12.16,-12.87
coauthor-physics,10,94.12±0.13,82.43±0.28,-11.70,-12.43
cora,2,88.44±0.67,62.36±2.08,-26.08,-29.49
cora,4,88.38±0.72,62.49±2.09,-25.89,-29.29
cora,6,87.79±0.74,62.41±1.73,-25.38,-28.91
cora,8,87.41±0.66,62.85±1.80,-24.56,-28.10
cora,10,86.81±0.47,62.94±1.84,-23.87,-27.49
ogbn-arxiv,2,59.95±0.25,64.12±0.23,+4.18,+6.97
ogbn-arxiv,4,57.90±0.26,66.94±0.27,+9.04,+15.61
ogbn-arxiv,6,55.38±0.33,67.90±0.21,+12.52,+22.61
ogbn-arxiv,8,52.55±0.32,68.29±0.19,+15.74,+29.96
ogbn-arxiv,10,49.73±0.31,68.40±0.18,+18.67,+37.54
pubmed,2,81.09±0.89,85.82±0.48,+4.73,+5.84
pubmed,4,78.48±0.66,84.57±0.43,+6.09,+7.76
pubmed,6,76.93±0.71,83.75±0.49,+6.83,+8.88
pubmed,8,75.49±0.58,83.39±0.38,+7.89,+10.46
pubmed,10,74.08±0.55,83.21±0.36,+9.13,+12.33
wikics,2,76.60±0.26,74.65±1.15,-1.95,-2.54
wikics,4,70.63±0.72,77.61±0.83,+6.98,+9.89
wikics,6,64.91±0.69,79.20±0.40,+14.29,+22.01
wikics,8,60.25±0.60,79.49±0.29,+19.25,+31.95
wikics,10,54.86±0.66,79.70±0.30,+24.84,+45.28
